fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag
2022,85994000000,61055000000,24939000000,93512000000,9832000000,6245000000,689000000.0,3826000000,19878000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.23115566202293183,9.063860667634252,3.1830264211369097,0.4946171647046987,0.11378172679522147,False,False,False
2023,87143000000,61055000000,26088000000,90155000000,8848000000,4912000000,694000000.0,3972000000,19905000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.22841765833170766,7.077809798270893,4.052320846905538,0.44451142928912335,-0.03589913593977245,False,False,False
2024,87007000000,59425000000,27582000000,87693000000,8312000000,5559000000,745000000.0,4331000000,20203000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.2321997080694657,7.461744966442953,3.6342867422198237,0.4114240459337722,-0.02730852420830787,False,False,False
2025,87627000000,59553000000,28074000000,87926000000,7036000000,5217000000,,4092000000,20579000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.23484770675704977,,3.9446041786467316,0.34190193886972153,0.0026569965675709017,False,True,False
2020,2105396000,947473000,1157923000,952730000,174954000,31172000,9343000.0,22388000,270359000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.1284124221761607,3.336401584073638,8.673136147824971,0.6471173513735441,,False,False,False
2021,2437294000,1096980000,1340314000,4232383000,252835000,238457000,7307000.0,171474000,274752000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.11272829621703413,32.63404954153551,1.15220773556658,0.92022988003727,3.442374019921699,False,False,False
2022,2810081000,1210479000,1599602000,5340490000,458163000,474721000,7506000.0,356948000,342465000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.12187015249738353,63.24553690381028,0.7214026765194714,1.337838903245587,0.26181633372972146,False,False,False
2023,2936047000,1301402000,1634645000,4202585000,422158000,212231000,13435000.0,167528000,350682000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.11944018607331558,15.79687383699293,1.6523599285683994,1.2038199850576876,-0.2130712724862326,False,False,False
2024,2868343000,1223346000,1644997000,3946390000,194419000,140291000,,103993000,264362000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.09216540699630414,,1.8843831749720223,0.7354271793979468,-0.060961289301703636,False,True,False
2021,44358000000,28255000000,16080000000,3055000000,2262000000,3148000000,326000000.0,2933000000,12494000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2816628342125434,9.656441717791411,3.968869123252859,0.18104690251320635,,False,False,False
